match_id;mode;hero;hero_deck;opponent;opponent_deck;coin;result
66320894;friendly;Warrior;;Paladin;;FALSE;loss
66320733;friendly;Shaman;Midrange;Druid;Jade;FALSE;win
66320035;arena;Paladin;;Mage;;TRUE;loss
66319194;arena;Paladin;;Rogue;;FALSE;loss
66318104;arena;Paladin;;Warlock;;TRUE;win
66317348;arena;Paladin;;Druid;;TRUE;win
66314849;friendly;Mage;;Rogue;;TRUE;win
66312469;friendly;Rogue;;Shaman;Jade;FALSE;win
66311054;friendly;Rogue;Miracle;Warrior;Pirate;TRUE;loss
66310489;friendly;Mage;Reno;Warrior;Pirate;FALSE;win
66309152;friendly;Shaman;Jade;Warrior;Pirate;TRUE;win
66307209;friendly;Warrior;Pirate;Warrior;Pirate;FALSE;win
66306523;friendly;Rogue;;Warrior;;TRUE;win
66306438;friendly;Warrior;Pirate;Rogue;;TRUE;loss
66305754;friendly;Rogue;;Warrior;Pirate;FALSE;win
66305057;friendly;Mage;Reno;Rogue;;TRUE;win
66304101;friendly;Mage;Reno;Shaman;Jade;FALSE;loss
66239178;ranked;Rogue;;Druid;Jade;FALSE;win
66238742;ranked;Rogue;;Warrior;Pirate;FALSE;win
66238336;ranked;Rogue;;Shaman;Aggro;TRUE;loss
66237959;ranked;Rogue;;Warrior;Pirate;FALSE;win
66237550;ranked;Rogue;;Rogue;Miracle;FALSE;loss
66237234;ranked;Rogue;;Warrior;Control;TRUE;loss
66236708;ranked;Rogue;Miracle;Warlock;Reno;TRUE;win
66236275;ranked;Rogue;;Warrior;Pirate;FALSE;win
66236006;ranked;Rogue;;Warrior;Pirate;FALSE;win
66235645;ranked;Rogue;Miracle;Warlock;Reno;TRUE;loss
66235258;friendly;Druid;Jade;Warrior;Pirate;TRUE;loss
66234851;friendly;Druid;Jade;Priest;Dragon;FALSE;loss
66234210;friendly;Warrior;Pirate;Warrior;Pirate;TRUE;win
66233616;friendly;Warrior;Pirate;Warlock;Reno;FALSE;loss
66232740;friendly;Druid;Jade;Mage;Reno;FALSE;win
66232117;friendly;Druid;Jade;Rogue;Miracle;FALSE;loss
66231610;friendly;Druid;Jade;Warrior;Pirate;TRUE;loss
66231350;friendly;Rogue;;Warrior;Pirate;TRUE;win
66230949;friendly;Shaman;Aggro;Warrior;Pirate;FALSE;win
66230238;ranked;Rogue;;Warrior;Pirate;FALSE;win
66229750;ranked;Rogue;;Rogue;;TRUE;win
66229213;friendly;Druid;Jade;Warlock;Zoo;TRUE;win
66228740;friendly;Warrior;Pirate;Warlock;Zoo;FALSE;win
66228181;friendly;Rogue;Miracle;Warlock;Zoo;FALSE;win
66227326;ranked;Shaman;;Priest;Dragon;TRUE;loss
66226890;ranked;Rogue;Miracle;Warrior;Pirate;FALSE;loss
66226520;ranked;Shaman;Midrange;Warrior;Pirate;TRUE;win
66226107;ranked;Rogue;Miracle;Warrior;Pirate;FALSE;loss
66225778;ranked;Rogue;Miracle;Rogue;;TRUE;win
66225365;ranked;Rogue;;Warrior;;TRUE;win
